"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Execute/CMP_IMM_lt","","2026-04-20","passed","2026-04-20","","CompareTests/CompareInstructions","CompareTests/CompareInstructions",""
"","0","STX","","2026-04-20","passed","2026-04-20","","STInstructions","STInstructions",""
"","0","RTI_restores_pc_and_status","","2026-04-20","passed","2026-04-20","","SubroutineInstructions","SubroutineInstructions",""
"","0","Execute/SED","","2026-04-20","passed","2026-04-20","","FlagsTests/FlagsInstructions","FlagsTests/FlagsInstructions",""
"","0","ASL_Accumulator_And_Memory","","2026-04-20","passed","2026-04-20","","ShiftInstructions","ShiftInstructions",""
"","0","CorrectlyLoadsHeaderAndData","","2026-04-20","passed","2026-04-20","","CartridgeTests","CartridgeTests",""
"","0","Execute/CLC","","2026-04-20","passed","2026-04-20","","FlagsTests/FlagsInstructions","FlagsTests/FlagsInstructions",""
"","0","SBC_WrapAround","","2026-04-20","passed","2026-04-20","","ArithmeticInstructions","ArithmeticInstructions",""
"","7","Nestest_Run","","2026-04-20","passed","2026-04-20","","CPU","CPU",""
"","0","MultiplicationLoop","","2026-04-20","passed","2026-04-20","","CPUTiming","CPUTiming",""
"","0","Execute/SEI","","2026-04-20","passed","2026-04-20","","FlagsTests/FlagsInstructions","FlagsTests/FlagsInstructions",""
"","0","Execute/CLV","","2026-04-20","passed","2026-04-20","","FlagsTests/FlagsInstructions","FlagsTests/FlagsInstructions",""
"","0","INX_DEX","","2026-04-20","passed","2026-04-20","","ArithmeticInstructions","ArithmeticInstructions",""
"","0","JSR_pushes_return_and_jumps","","2026-04-20","passed","2026-04-20","","SubroutineInstructions","SubroutineInstructions",""
"","0","LoopExecutionCycles","","2026-04-20","passed","2026-04-20","","CPUTiming","CPUTiming",""
"","0","STA","","2026-04-20","passed","2026-04-20","","STInstructions","STInstructions",""
"","0","Execute/SEC","","2026-04-20","passed","2026-04-20","","FlagsTests/FlagsInstructions","FlagsTests/FlagsInstructions",""
